,dividend_rate,implied_vol,opt_price,opt_type,rf_interest,strike,ttm,und_price
T80C,0,3.180533346,22.57261127,C,0,80,0.083148148,100.4425283
T80P,0,0.868124701,2.205851306,P,0,80,0.083148148,100.4425283
T81C,0,3.06089303,22.06832178,C,0,81,0.083148148,100.4425283
T81P,0,0.859847622,2.371098374,P,0,81,0.083148148,100.4425283
T82C,0,2.88046486,20.97837319,C,0,82,0.083148148,100.4425283
T82P,0,0.846169537,2.506352316,P,0,82,0.083148148,100.4425283
T83C,0,2.739162833,20.21932594,C,0,83,0.083148148,100.4425283
T83P,0,0.835826704,2.674043646,P,0,83,0.083148148,100.4425283
T84C,0,2.588184525,19.34103303,C,0,84,0.083148148,100.4425283
T84P,0,0.828943745,2.878479756,P,0,84,0.083148148,100.4425283
T85C,0,2.433762704,18.40042586,C,0,85,0.083148148,100.4425283
T85P,0,0.819106505,3.070442596,P,0,85,0.083148148,100.4425283
T86C,0,2.295824918,17.59286808,C,0,86,0.083148148,100.4425283
T86P,0,0.802510482,3.215520266,P,0,86,0.083148148,100.4425283
T87C,0,2.164960047,16.83140457,C,0,87,0.083148148,100.4425283
T87P,0,0.804579768,3.531793404,P,0,87,0.083148148,100.4425283
T88C,0,2.025425185,15.96011613,C,0,88,0.083148148,100.4425283
T88P,0,0.797807033,3.786153133,P,0,88,0.083148148,100.4425283
T89C,0,1.944217526,15.66102911,C,0,89,0.083148148,100.4425283
T89P,0,0.786067032,4.007606493,P,0,89,0.083148148,100.4425283
T90C,0,1.802526426,14.72711903,C,0,90,0.083148148,100.4425283
T90P,0,0.777019081,4.266495975,P,0,90,0.083148148,100.4425283
T91C,0,1.71496314,14.33573697,C,0,91,0.083148148,100.4425283
T91P,0,0.763744852,4.497025143,P,0,91,0.083148148,100.4425283
T92C,0,1.6283976,13.944583,C,0,92,0.083148148,100.4425283
T92P,0,0.745471965,4.688888563,P,0,92,0.083148148,100.4425283
T93C,0,1.44852245,12.54625315,C,0,93,0.083148148,100.4425283
T93P,0,0.761616446,5.247849868,P,0,93,0.083148148,100.4425283
T94C,0,1.329584676,11.77584901,C,0,94,0.083148148,100.4425283
T94P,0,0.731923533,5.347508652,P,0,94,0.083148148,100.4425283
T95C,0,1.223484908,11.13000176,C,0,95,0.083148148,100.4425283
T95P,0,0.70683104,5.504217291,P,0,95,0.083148148,100.4425283
T96C,0,1.097262294,10.25013973,C,0,96,0.083148148,100.4425283
T96P,0,0.702898835,5.903199681,P,0,96,0.083148148,100.4425283
T97C,0,1.013073147,9.824001875,C,0,97,0.083148148,100.4425283
T97P,0,0.713870272,6.487005399,P,0,97,0.083148148,100.4425283
T98C,0,0.965986408,9.811662441,C,0,98,0.083148148,100.4425283
T98P,0,0.728239014,7.132409747,P,0,98,0.083148148,100.4425283
T99C,0,0.893617689,9.517689148,C,0,99,0.083148148,100.4425283
T99P,0,0.631694372,6.538022524,P,0,99,0.083148148,100.4425283
T100C,0,0.782110036,8.778422344,C,0,100,0.083148148,100.4425283
T100P,0,0.676236635,7.564805469,P,0,100,0.083148148,100.4425283
T101C,0,0.620967479,7.467485621,C,0,101,0.083148148,100.4425283
T101P,0,0.720888678,8.619344228,P,0,101,0.083148148,100.4425283
T102C,0,0.53441236,7.026269637,C,0,102,0.083148148,100.4425283
T102P,0,0.652137215,8.386446113,P,0,102,0.083148148,100.4425283
T103C,0,0.451394216,6.655108529,C,0,103,0.083148148,100.4425283
T103P,0,0.707945497,9.610950206,P,0,103,0.083148148,100.4425283
T104C,0,0.376002348,6.423580026,C,0,104,0.083148148,100.4425283
T104P,0,0.756002875,10.76353339,P,0,104,0.083148148,100.4425283
T105C,0,0.267443986,5.946988418,C,0,105,0.083148148,100.4425283
T105P,0,0.67409179,10.43742072,P,0,105,0.083148148,100.4425283
T106C,0,0,5.551455572,C,0,106,0.083148148,100.4425283
T106P,0,0.708120304,11.46169753,P,0,106,0.083148148,100.4425283
T107C,0,0,5.309799888,C,0,107,0.083148148,100.4425283
T107P,0,0.660930007,11.58100393,P,0,107,0.083148148,100.4425283
T108C,0,0,4.883251459,C,0,108,0.083148148,100.4425283
T108P,0,0.678998385,12.45600523,P,0,108,0.083148148,100.4425283
T109C,0,0,4.579931384,C,0,109,0.083148148,100.4425283
T109P,0,0.690598402,13.27215868,P,0,109,0.083148148,100.4425283
T110C,0,0,4.267195987,C,0,110,0.083148148,100.4425283
T110P,0,0.702561619,14.10508691,P,0,110,0.083148148,100.4425283
T111C,0,0,3.983581068,C,0,111,0.083148148,100.4425283
T111P,0,0.670438777,14.47973032,P,0,111,0.083148148,100.4425283
T112C,0,0,3.759239841,C,0,112,0.083148148,100.4425283
T112P,0,0.682166558,15.3394564,P,0,112,0.083148148,100.4425283
T113C,0,0,3.473482479,C,0,113,0.083148148,100.4425283
T113P,0,0.665076126,15.91605054,P,0,113,0.083148148,100.4425283
T114C,0,0,3.176075638,C,0,114,0.083148148,100.4425283
T114P,0,0.659594077,16.63037668,P,0,114,0.083148148,100.4425283
T115C,0,0,3.009272719,C,0,115,0.083148148,100.4425283
T115P,0,0.673178239,17.5442195,P,0,115,0.083148148,100.4425283
T116C,0,0,2.827702397,C,0,116,0.083148148,100.4425283
T116P,0,0.652044993,18.14051135,P,0,116,0.083148148,100.4425283
T117C,0,0,2.574400731,C,0,117,0.083148148,100.4425283
T117P,0,0.682235763,19.22538671,P,0,117,0.083148148,100.4425283
T118C,0,0,2.467100893,C,0,118,0.083148148,100.4425283
T118P,0,0.672966758,19.95791384,P,0,118,0.083148148,100.4425283
T119C,0,0,2.290626375,C,0,119,0.083148148,100.4425283
T119P,0,0.694512313,20.97288279,P,0,119,0.083148148,100.4425283
T120C,0,0,2.165947796,C,0,120,0.083148148,100.4425283
T120P,0,0.73707912,22.1749784,P,0,120,0.083148148,100.4425283
